volume,plate,ia_id,leaf,gould_latin,gould_english,tier,birdnet_sci,birdnet_common,in_havell,in_gould_europe,note
I,1,BirdsAsiaJohnGoIGoul,28,Otogyps calvus,Black Vulture,not_in_birdnet,,,,,
I,2,BirdsAsiaJohnGoIGoul,32,Gyps Bengalensis,Bengal Vulture,not_in_birdnet,,,,,
I,3,BirdsAsiaJohnGoIGoul,36,Falco Peregrinator,Shaheen Falcon,form,Falco peregrinus,Peregrine Falcon,y,y,
I,4,BirdsAsiaJohnGoIGoul,40,Falco Babylonicus,Red-naped Falcon,form,Falco peregrinus,Peregrine Falcon,y,y,
I,5,BirdsAsiaJohnGoIGoul,44,Falco sacer,Saker Falcon,not_in_birdnet,,,,,
I,6,BirdsAsiaJohnGoIGoul,48,Falco lamas,Lanner Falcon,not_in_birdnet,,,,,
I,7,BirdsAsiaJohnGoIGoul,52,Falco ducer,Jugger Falcon,not_in_birdnet,,,,,
I,8,BirdsAsiaJohnGoIGoul,56,Erythropus amurensis,White-winged Red-footed Kestrel,probable,Falco amurensis,Amur Falcon,,,
I,9,BirdsAsiaJohnGoIGoul,60,Spilornis rufipectus,Rufous-breasted Spilornis,form,Spilornis cheela,Crested Serpent-Eagle,,,
I,10,BirdsAsiaJohnGoIGoul,64,Spizaetus alboniger,Black-and-white Crested Eagle,not_in_birdnet,,,,,
I,11,BirdsAsiaJohnGoIGoul,68,Milvus Govinda,Govinda Kite,form,Milvus migrans,Black Kite,,y,
I,12,BirdsAsiaJohnGoIGoul,72,Elanus hypoleucus,Celebean Elanus,form,Elanus caeruleus,Black-winged Kite,,y,
I,13,BirdsAsiaJohnGoIGoul,76,Scops pennatus,Indian Scops Owl,form,Otus sunia,Oriental Scops-Owl,,,
I,14,BirdsAsiaJohnGoIGoul,80,Phodilus badius,Bay Owl,exact,Phodilus badius,Oriental Bay-Owl,,,
I,15,BirdsAsiaJohnGoIGoul,84,Athene Brodiei,Brodie's Owlet,probable,Taenioptynx brodiei,Collared Owlet,,,
I,16,BirdsAsiaJohnGoIGoul,88,Syrnium ocellatum,Speckled Wood-Owl,probable,Strix ocellata,Mottled Wood-Owl,,,
I,17,BirdsAsiaJohnGoIGoul,92,Strix indica,Indian Screech Owl,form,Tyto alba,Barn Owl,y,y,
I,18,BirdsAsiaJohnGoIGoul,96,Strix candida,Grass-Owl,not_in_birdnet,,,,,
I,19,BirdsAsiaJohnGoIGoul,100,Caprimulgus Mahrattensis,Mahratta Nightjar,not_in_birdnet,,,,,
I,20,BirdsAsiaJohnGoIGoul,104,Cypselus infumatus,Palm Roof-Swift,form,Cypsiurus balasiensis,Asian Palm-Swift,,,
I,21,BirdsAsiaJohnGoIGoul,108,Dendrochelidon coronatus,Crested Tree-Swift,probable,Hemiprocne coronata,Crested Treeswift,,,
I,22,BirdsAsiaJohnGoIGoul,112,Dendrochelidon Klecho,Klecho Tree-Swift,form,Hemiprocne longipennis,Gray-rumped Treeswift,,,
I,23,BirdsAsiaJohnGoIGoul,116,Dendrochelidon Wallacei,Wallace's Tree-Swift,form,Hemiprocne longipennis,Gray-rumped Treeswift,,,
I,24,BirdsAsiaJohnGoIGoul,120,Dendrochelidon mystaceus,Bearded Tree-Swift,probable,Hemiprocne mystacea,Moustached Treeswift,,,
I,25,BirdsAsiaJohnGoIGoul,124,Dendrochelidon comatus,Hooded Tree-Swift,probable,Hemiprocne comata,Whiskered Treeswift,,,
I,26,BirdsAsiaJohnGoIGoul,128,Hirundo filifera,Wire-tailed Swallow,form,Hirundo smithii,Wire-tailed Swallow,,,
I,27,BirdsAsiaJohnGoIGoul,132,Cecropis rufula,Western Mosque-Swallow,form,Cecropis daurica,Red-rumped Swallow,,y,
