volume,plate,ia_id,leaf,latin,authority,english,modern,birdnet_sci,birdnet_common,tier,confidence,in_birdnet,in_havell,in_gould_europe,note
I,1,birdsAustraliav1Goul,140,Aquila fucosa,Cuv,Wedge-tailed Eagle,Aquila audax,,,manual,high,no,,,
I,2,birdsAustraliav1Goul,144,Aquila Morphnoides,Gould,Little Australian Eagle,Hieraaetus morphnoides,,,manual,high,no,,,
I,3,birdsAustraliav1Goul,148,Ichthyiaetus leucogaster,,White-bellied Sea Eagle,Haliaeetus leucogaster,Haliaeetus leucogaster,White-bellied Sea-Eagle,manual,high,yes,,,
I,4,birdsAustraliav1Goul,152,Haliaster leucosternus,Gould,White-breasted Sea Eagle,Haliastur indus,Haliastur indus,Brahminy Kite,manual,high,yes,,,
I,5,birdsAustraliav1Goul,156,Haliaster sphenurus,,Whistling Eagle,Haliastur sphenurus,Haliastur sphenurus,Whistling Kite,manual,high,yes,,,
I,6,birdsAustraliav1Goul,160,Pandion leucocephalus,Gould,White-headed Osprey,Pandion haliaetus,Pandion haliaetus,Osprey,manual,high,yes,yes,yes,
I,7,birdsAustraliav1Goul,164,Falco hypoleucus,Gould,Grey Falcon,Falco hypoleucos,,,manual,high,no,,,
I,8,birdsAustraliav1Goul,168,Falco melanogenys,Gould,Black-cheeked Falcon,Falco peregrinus,Falco peregrinus,Peregrine Falcon,manual,high,yes,yes,yes,
I,9,birdsAustraliav1Goul,172,Falco subniger,Gray,Black Falcon,Falco subniger,,,manual,high,no,,,
I,10,birdsAustraliav1Goul,176,Falco frontatus,Gould,White-fronted Falcon,Falco longipennis,,,manual,high,no,,,
I,11,birdsAustraliav1Goul,180,Ieracidea Berigora,,Brown Hawk,Falco berigora,Falco berigora,Brown Falcon,epithet+noun,medium,yes,,,
I,12,birdsAustraliav1Goul,184,Ieracidea occidentalis,Gould,Western Brown Hawk,Falco berigora,Falco berigora,Brown Falcon,manual,high,yes,,,
I,13,birdsAustraliav1Goul,188,Tinnunculus Cenchroides,,Nankeen Kestril,Falco cenchroides,,,manual,high,no,,,
I,14,birdsAustraliav1Goul,192,Astur Novae-Hollandiae,,New Holland Goshawk,Accipiter novaehollandiae,Accipiter novaehollandiae,Gray Goshawk,manual,high,yes,,,
I,15,birdsAustraliav1Goul,196,Astur (albino),,White Goshawk,Accipiter novaehollandiae,Accipiter novaehollandiae,Gray Goshawk,manual,high,yes,,,
I,16,birdsAustraliav1Goul,200,Astur radiatus,,Radiated Goshawk,Erythrotriorchis radiatus,,,manual,high,no,,,
I,17,birdsAustraliav1Goul,204,Astur approximans,Vig. & Horsf,Australian Goshawk,Accipiter fasciatus,Accipiter fasciatus,Brown Goshawk,manual,high,yes,,,
I,18,birdsAustraliav1Goul,208,Astur cruentus,Gould,West Australian Goshawk,Accipiter fasciatus,Accipiter fasciatus,Brown Goshawk,manual,medium,yes,,,
I,19,birdsAustraliav1Goul,212,Accipiter torquatus,,Collared Sparrow Hawk,Accipiter cirrocephalus,Accipiter cirrocephalus,Collared Sparrowhawk,manual,high,yes,,,
I,20,birdsAustraliav1Goul,216,Buteo melanosternon,Gould,Black-breasted Buzzard,Hamirostra melanosternon,,,manual,high,no,,,
I,21,birdsAustraliav1Goul,220,Milvus affinis,Gould,Allied Kite,Milvus migrans,Milvus migrans,Black Kite,manual,high,yes,,yes,
I,22,birdsAustraliav1Goul,224,Milvus isurus,Gould,Square-tailed Kite,Lophoictinia isura,,,manual,high,no,,,
I,23,birdsAustraliav1Goul,228,Elanus axillaris,,Black-shouldered Kite,Elanus axillaris,,,manual,high,no,,,
I,24,birdsAustraliav1Goul,232,Elanus scriptus,Gould,Letter-winged Kite,Elanus scriptus,,,manual,high,no,,,
I,25,birdsAustraliav1Goul,236,Lepidogenys subcristatus,Gould,Crested Hawk,Aviceda subcristata,Aviceda subcristata,Pacific Baza,epithet+noun,medium,yes,,,
I,26,birdsAustraliav1Goul,240,Circus assimilis,Jard. & Selb,Allied Harrier,Circus assimilis,,,manual,high,no,,,
I,27,birdsAustraliav1Goul,244,Circus Jardinii,Gould,Jardine’s Harrier,Circus assimilis,,,manual,medium,no,,,
I,28,birdsAustraliav1Goul,248,Strix castanops,Gould,Chestnut-faced Owl,Tyto novaehollandiae,Tyto novaehollandiae,Australian Masked-Owl,manual,high,yes,,,
I,29,birdsAustraliav1Goul,252,Strix personata,Vig,Masked Barn Owl,Tyto novaehollandiae,Tyto novaehollandiae,Australian Masked-Owl,manual,high,yes,,,
I,30,birdsAustraliav1Goul,256,Strix tenebricosus,Gould,Sooty Owl,Tyto tenebricosa,Tyto tenebricosa,Sooty Owl,common-name,high,yes,,,
I,31,birdsAustraliav1Goul,260,Strix delicatulus,Gould,Delicate Owl,Tyto alba,Tyto alba,Barn Owl,manual,high,yes,yes,yes,
I,32,birdsAustraliav1Goul,264,Athene Boobook,,Boobook Owl,Ninox boobook,Ninox boobook,Southern Boobook,epithet+noun,medium,yes,,,
I,33,birdsAustraliav1Goul,268,Athene maculata,,Spotted Owl,Ninox boobook,Ninox boobook,Southern Boobook,manual,medium,yes,,,
I,34,birdsAustraliav1Goul,272,Athene connivens,,Winking Owl,Ninox connivens,Ninox connivens,Barking Owl,epithet+noun,medium,yes,,,
I,35,birdsAustraliav1Goul,276,Athene strenua,Gould,Powerful Owl,Ninox strenua,Ninox strenua,Powerful Owl,common-name,high,yes,,,
I,36,birdsAustraliav1Goul,280,Athene rufa,Gould,Rufous Owl,Ninox rufa,,,manual,high,no,,,
